agno,mes,dia,pmen,tmax,tmin
1970,1,3,0,26.4,13.3
1970,2,3,0,27,13.7
1970,3,3,0,26.1,12.5
1970,4,3,0,25,9.8
1970,5,3,22,19.4,7.3
1970,6,3,0,17.9,3.5
1970,7,3,36.5,17.3,4.5
1970,8,3,10.5,20,6.1
1970,9,3,0,22.1,7.6
1970,10,3,13,22.1,8.6
1970,11,3,0,24,10.2
1970,12,3,0,25.8,12.2
1971,1,3,3,26.5,13.3
1971,2,3,0,25.6,12.4
1971,3,3,0,24.1,10.6
1971,4,3,0,22.7,8.3
1971,5,3,0,23,8.2
1971,6,3,33,16.1,5
1971,7,3,22,19.1,6.5
1971,8,3,16,17.8,5.4
1971,9,3,31,19.3,6.3
1971,10,3,0,22.5,7.4
1971,11,3,0,25,10.4
1971,12,3,0,25.2,11.5
1972,1,3,0,26.7,14
1972,2,3,0,28,14.3
1972,3,3,0,25.9,11.2
1972,4,3,0,22.1,7.5
1972,5,3,3,21.4,6.9
1972,6,3,175.5,15.3,6.8
1972,7,3,44,14.1,2.2
1972,8,3,128,14.8,5.7
1972,9,3,19.6,16.1,6.3
1972,10,3,0,20.7,7.7
1972,11,3,0,21.9,8.5
1972,12,3,0,26.5,12.9
1973,1,3,0,26.8,13.4
1973,2,3,0,25.2,11.9
1973,3,3,0,24.4,10.8
1973,4,3,1.2,22.3,8.7
1973,5,3,6,19.9,6.6
1973,6,3,39.5,16.9,4.7
1973,7,3,28.5,15.1,4.1
1973,8,3,0,17.7,2.8
1973,9,3,0,18.1,3.8
1973,10,3,24.5,18.8,6
1973,11,3,0,22.4,9.2
1973,12,3,0,24.4,10.8
1974,1,3,0,25.6,12
1974,2,3,0,24.9,11.1
1974,3,3,0,22.8,8.6
1974,4,3,0,21.6,6.5
1974,5,3,8.6,17.1,4.6
1974,6,3,77.5,13.3,2.4
1974,7,3,0,13.8,1.4
1974,8,3,8,17.7,3
1974,9,3,13.2,19.3,5
1974,10,3,0,20.5,5.9
1974,11,3,0,23.8,9.2
1974,12,3,0.5,22.7,8.9
1975,1,3,0,23,9.6
1975,2,3,0,24,9.7
1975,3,3,0,21.1,7.4
1975,4,3,0,20,5.7
1975,5,3,55.5,18.5,4.7
1975,6,3,4.3,14.8,2.2
1975,7,3,49.5,13,1.4
1975,8,3,9.8,14.3,2
1975,9,3,1.2,16.2,3
1975,10,3,0,21.2,6.1
1975,11,3,0,22.1,8.3
1975,12,3,0,23.7,10.2
1976,1,3,1.5,24.5,11.6
1976,2,3,0,25.1,11
1976,3,3,0,22.6,8.3
1976,4,3,0,22.1,6.8
1976,5,3,50,18.7,4.8
1976,6,3,0,17.1,2.9
1976,7,3,1.8,16.8,2.7
1976,8,3,30,14.9,2.4
1976,9,3,0,17.5,3.8
1976,10,3,45,21.8,9.8
1976,11,3,6.5,24.7,11.9
1976,12,3,0,28.1,13.8
1977,1,3,0,28.8,15
1977,2,3,0,28.3,14.2
1977,3,3,0,26.3,12.7
1977,4,3,0,24.9,10.8
1977,5,3,1,24.2,9
1977,6,3,40,20.7,6.7
1977,7,3,175.5,14.9,4.8
1977,8,3,40.5,17.6,6.6
1977,9,3,0,21.8,8.8
1977,10,3,19,22.5,10
1977,11,3,0,27.9,13.3
1977,12,3,0,26.8,13.3
1978,1,3,0,27.7,14
1978,2,3,0,26.9,13.5
1978,3,3,0,25.4,11.9
1978,4,3,0,23.1,9.5
1978,5,3,0,23.4,9.5
1978,6,3,0.5,18.9,6.8
1978,7,3,134,18.5,8.7
1978,8,3,0,19.5,6.3
1978,9,3,47,21.4,8.8
1978,10,3,0,26.1,11.8
1978,11,3,32,25.6,12.9
1978,12,3,0,27.2,14
1979,1,3,0,28.3,14.4
1979,2,3,0,27.2,13.9
1979,3,3,0,26.6,13.1
1979,4,3,2,23.9,11.2
1979,5,3,0.8,24.8,10.8
1979,6,3,0,19.1,5.2
1979,7,3,13,21.2,7.3
1979,8,3,1,23.5,9.1
1979,9,3,10.5,23.1,9
1979,10,3,4,25.6,11
1979,11,3,0,25.6,12.2
1979,12,3,0,27.8,14.5
1980,1,3,0,28.5,15.1
1980,2,3,3,28.6,15.6
1980,3,3,0,28.6,15.4
1980,4,3,111.2,22.8,12.6
1980,5,3,0,21.3,10.2
1980,6,3,20.2,19.4,7.4
1980,7,3,99.5,18.4,7
1980,8,3,15,19.8,7.7
1980,9,3,36.9,20.9,7.6
1980,10,3,0,24,10.6
