agno;mes;dia;pmen;tmax;tmin
1971;1;18;7;20.3;8.7
1971;2;18;0;24.9;12.1
1971;3;18;8;24.9;12.5
1971;4;18;0;19.3;8.7
1971;5;18;0;20.2;8.9
1971;6;18;52;14.9;6.2
1971;7;18;13;17.6;6.7
1971;8;18;34;19;6.9
1971;9;18;24;20.3;7
1971;10;18;0;23;10.8
1971;11;18;0;25.6;12.1
1971;12;18;0;25.4;11.9
1972;1;18;0;26;13.5
1972;2;18;0;27.1;12.8
1972;3;18;0;24.6;11.3
1972;4;18;0;23.8;11.8
1972;5;18;20.5;21.3;10
1972;6;18;394.1;16.7;8.3
1972;7;18;26.5;15.6;4.6
1972;8;18;106.5;16.6;8.6
1972;9;18;58;17.4;7.6
1972;10;18;11;24.6;13.7
1972;11;18;2;25;13.5
1972;12;18;0;25.2;13
1973;1;18;0;27.8;12.4
1973;2;18;0;26.2;12.5
1973;3;18;0;27.1;8.5
1973;4;18;5;23.4;13
1973;5;18;7;22.7;12.3
1973;6;18;49;22.9;12.7
1973;7;18;62;21.4;11.3
1973;8;18;0;18.8;7.3
1973;9;18;0;22;10.3
1973;10;18;11;23.9;12.1
1973;11;18;0;25.4;13.8
1973;12;18;0;25.3;13.7
1974;1;18;0;25.9;13.6
1974;2;18;0;25.9;14.7
1974;3;18;0;25.3;13.5
1974;4;18;0;25.2;8.6
1974;5;18;14;20.5;10.4
1974;6;18;91;18.9;9.3
1974;7;18;0;20.1;9.2
1974;8;18;4;22.4;10.9
1974;9;18;22;21.1;9.1
1974;10;18;0;23.8;13
1974;11;18;0;25.4;13.9
1974;12;18;0;24.9;14.3
1975;1;18;0;26.3;13.4
1975;2;18;0;22.1;10.7
1975;3;18;2.9;23.9;12.6
1975;4;18;0;18.3;7.4
1975;5;18;42.5;22.9;12.9
1975;6;18;49;21.3;10.9
1975;7;18;29;17.5;6.8
1975;8;18;36;16.5;6.2
1975;9;18;0;19;7.8
1975;10;18;0;22.4;11.2
1975;11;18;0;23.3;12.8
1975;12;18;0;26.9;15.5
1976;1;18;4;25.9;14.6
1976;2;18;4;26;13.2
1976;3;18;0;25.1;12.8
1976;4;18;0;21.6;10.7
1976;5;18;86;18.6;8.1
1976;6;18;0;16.8;5.8
